127.0.0.1, 2017-08-08 20:50:14, GET, /, HTTP/1.1, 303, 0.000895
127.0.0.1, 2017-08-08 20:50:17, GET, /welcome/default/index, HTTP/1.1, 200, 2.102185
127.0.0.1, 2017-08-08 20:50:21, GET, /robots.txt, HTTP/1.1, 400, 0.000487
127.0.0.1, 2017-08-08 20:51:19, GET, /robots.txt, HTTP/1.1, 400, 0.000336
127.0.0.1, 2017-08-08 20:51:20, GET, /admin/default/site, HTTP/1.1, 303, 0.250208
127.0.0.1, 2017-08-08 20:51:20, GET, /admin/default/index, HTTP/1.1, 200, 0.073286
127.0.0.1, 2017-08-08 20:51:20, GET, /robots.txt, HTTP/1.1, 400, 0.000551
127.0.0.1, 2017-08-08 20:51:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000446
127.0.0.1, 2017-08-08 20:51:22, POST, /admin/default/index, HTTP/1.1, 303, 0.012026
127.0.0.1, 2017-08-08 20:51:22, GET, /robots.txt, HTTP/1.1, 400, 0.000638
127.0.0.1, 2017-08-08 20:51:22, GET, /admin/default/site, HTTP/1.1, 200, 0.112169
127.0.0.1, 2017-08-08 20:51:22, GET, /robots.txt, HTTP/1.1, 400, 0.000417
127.0.0.1, 2017-08-08 20:51:30, POST, /admin/default/check_version, HTTP/1.1, 200, 7.651386
127.0.0.1, 2017-08-08 20:51:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000459
127.0.0.1, 2017-08-08 20:51:38, GET, /robots.txt, HTTP/1.1, 400, 0.000280
127.0.0.1, 2017-08-08 21:00:51, GET, /robots.txt, HTTP/1.1, 400, 0.000483
127.0.0.1, 2017-08-08 21:00:51, GET, /diario_obra/default/index, HTTP/1.1, 500, 0.291452
127.0.0.1, 2017-08-08 21:00:51, GET, /robots.txt, HTTP/1.1, 400, 0.000423
127.0.0.1, 2017-08-08 21:00:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000418
127.0.0.1, 2017-08-08 21:00:52, GET, /robots.txt, HTTP/1.1, 400, 0.000295
127.0.0.1, 2017-08-08 21:00:52, GET, /admin/default/ticket/diario_obra/127.0.0.1.2017-08-08.21-00-51.360e3252-6dca-425e-ac28-68889f5379e2, HTTP/1.1, 200, 0.075910
